team,elo_rating,squad_market_value_m,squad_market_value_eur,avg_goals_scored,avg_goals_conceded,form_index,squad_size,avg_squad_age,fifa_ranking,value_imputed,matches_played
Belarus,1496.0,14.3,14300000.0,1.0,1.7,0.23636363636363636,23.0,26.6,97.0,False,299.0
Oman,1490.0,6.1,6100000.0,0.75,0.9,0.12727272727272726,22.0,28.5,79.0,False,475.0
Syria,1486.0,,,1.9,1.0,0.5636363636363636,,,,,370.0
Guinea,1485.0,,,1.75,0.9,0.32727272727272727,,,,,305.0
Palestine,1470.0,,,1.0,1.15,0.2727272727272727,,,,,216.0
Gabon,1467.0,,,1.8,1.65,0.21818181818181817,,,,,313.0
Curaçao,1467.0,,,2.05,0.7,0.34545454545454546,,,,,174.0
Northern Cyprus,1456.0,,,3.05,0.9,0.6,,,,,31.0
Bulgaria,1452.0,29.8,29750000.0,1.1,1.95,0.34545454545454546,24.0,25.1,86.0,False,341.0
Montenegro,1444.0,60.1,60130001.0,1.0,1.7,0.4727272727272727,26.0,28.3,81.0,False,165.0
Suriname,1441.0,,,1.45,1.05,0.2727272727272727,,,,,189.0
Equatorial Guinea,1437.0,,,0.9,1.35,0.21818181818181817,,,,,161.0
Benin,1436.0,,,1.0,1.35,0.41818181818181815,,,,,240.0
Uganda,1433.0,8.7,8700000.0,1.25,1.25,0.34545454545454546,28.0,28.0,88.0,False,405.0
Qatar,1427.0,18.3,18299999.0,1.4,1.9,0.14545454545454545,25.0,27.9,55.0,False,499.0
Kurdistan,1425.0,,,,,,,,,,
Libya,1424.0,11.4,11430000.0,1.25,0.8,0.3090909090909091,19.0,26.5,112.0,False,248.0
Gambia,1424.0,,,1.9,1.5,0.4909090909090909,,,,,176.0
Bahrain,1417.0,,,0.95,1.45,0.14545454545454545,,,,,462.0
Kazakhstan,1410.0,17.7,17700001.0,0.85,1.9,0.3090909090909091,27.0,26.4,110.0,False,266.0
Niger,1403.0,,,1.5,1.3,0.38181818181818183,,,,,197.0
China,1403.0,12.5,12480000.0,,,,26.0,26.6,94.0,False,
Trinidad and Tobago,1402.0,,,1.45,1.75,0.09090909090909091,,,,,459.0
Luxembourg,1395.0,32.9,32900002.0,0.55,1.6,0.03636363636363636,24.0,26.5,98.0,False,289.0
Mozambique,1389.0,,,1.3,1.4,0.3090909090909091,,,,,324.0
Armenia,1389.0,40.4,40380001.0,1.0,2.5,0.10909090909090909,25.0,24.8,106.0,False,269.0
Faroe Islands,1380.0,4.8,4850000.0,1.1,1.15,0.6363636363636364,23.0,27.4,123.0,False,261.0
North Korea,1376.0,,,1.15,1.4,0.0,,,,,275.0
Madagascar,1369.0,,,1.55,1.3,0.7090909090909091,,,,,226.0
Thailand,1367.0,8.7,8700000.0,2.4,1.05,0.7636363636363637,26.0,29.4,93.0,False,456.0
Zambia,1364.0,,,0.75,1.4,0.09090909090909091,,,,,509.0
Comoros,1359.0,3.3,3280000.0,1.1,1.45,0.05454545454545454,21.0,23.9,109.0,False,144.0
Estonia,1359.0,7.0,7050000.0,1.05,1.95,0.18181818181818182,24.0,24.2,129.0,False,428.0
Sudan,1352.0,,,0.35,1.1,0.23636363636363636,,,,,342.0
Zimbabwe,1352.0,,,0.9,1.3,0.12727272727272726,,,,,363.0
Reunion,1345.0,,,,,,,,,,
Sierra Leone,1344.0,,,1.1,1.45,0.45454545454545453,,,,,192.0
Kenya,1344.0,,,1.05,1.5,0.3090909090909091,,,,,385.0
Indonesia,1341.0,30.7,30680000.0,1.35,1.45,0.41818181818181815,23.0,26.4,122.0,False,341.0
Togo,1340.0,,,0.95,1.4,0.18181818181818182,,,,,306.0
Martinique,1340.0,,,1.1,1.35,0.07272727272727272,,,,,215.0
Azerbaijan,1339.0,16.2,16230000.0,0.9,2.35,0.18181818181818182,27.0,27.6,124.0,False,307.0
Guadeloupe,1338.0,,,1.95,1.0,0.509090909090909,,,,,171.0
Lebanon,1332.0,6.4,6450000.0,1.45,0.9,0.6,23.0,28.9,108.0,False,300.0
Kuwait,1330.0,,,1.1,1.8,0.2545454545454545,,,,,469.0
Vietnam,1329.0,6.4,6380000.0,2.0,1.3,0.8727272727272727,23.0,28.0,99.0,False,294.0
